host_id,superhost_score,superhost,black_host,monthly_reservations,log_monthly_revenue,booking_window_days
1,2.2794688085559756,1,0,27.06996639913097,9.63366294437756,29.564481913842975
2,2.186427597189322,1,0,24.369184186704487,9.593632270964141,21.070214555777472
3,-1.3088977430015802,0,0,3.6858211153478786,8.073136096209877,35.62339817187744
4,-1.2246318231336772,0,1,11.673228672298299,8.224373138782415,25.926618337564296
5,-0.54744016029872,0,0,10.932019800781454,8.804274720530024,28.53119757005191
6,-0.7941007032059133,0,0,12.083184916551579,8.148622676792431,27.0787726068995
7,-0.23809701786376536,0,1,17.82397217740006,8.332956226893826,25.137016890551386
8,-1.0503358964342624,0,0,16.932897692570698,7.977588161621556,31.448985140986967
9,-0.24663388612680137,0,0,15.123530452456567,8.503089469589613,30.009777872958715
10,1.5329785994254053,1,0,16.787896527010208,9.440860822552759,29.79139808408652
11,0.5286053474992514,1,0,19.13452056702717,9.008031297638832,28.54250664754497
12,-0.6857945618685335,0,1,12.760995000427645,7.953385976153154,29.783121486564813
13,1.3316923729144037,1,0,24.718073514329582,9.271620107862928,16.24210428731491
14,-2.274565265979618,0,1,0.374321007778879,7.548172161551174,35.30629517262791
15,0.46085937530733645,1,0,15.666313865643115,9.274173529278817,29.733775796263615
16,-1.4918390579987317,0,0,13.260536634349888,7.967466135525739,30.08794643887925
17,0.6636901281308383,1,1,26.14251653012231,9.510596843019668,26.42775929919404
18,-0.48205002676695585,0,0,13.98801243022691,8.364513075346693,27.26442656063015
19,-1.0474829585291445,0,0,5.808334618754234,8.225603533828396,34.51955188902363
20,0.7022950530517846,1,0,20.454671377739732,9.134636397891335,26.323629527862416
21,0.6798387784510851,1,0,25.289861842374783,9.106634958134832,28.846728766764503
22,2.4493922700639814,1,0,27.49925844271152,9.526390896070772,33.88381977493136
23,2.155870047863573,1,1,36.76501245322295,10.030861635568773,23.90954445951789
24,-0.07247623172588646,0,1,8.281285052295289,8.369293122308116,27.83742629514243
25,0.37344627548009157,1,0,22.137780302184176,9.363024226972229,43.686473087127055
26,1.2561912438832223,1,1,24.503694968837237,9.433083687812642,37.261700301435724
27,2.463611881248653,1,0,26.96156113404815,9.935352169748185,19.55871456416145
28,-0.3456780768465251,0,0,17.42751729081547,8.618830160217222,30.06066742543921
29,-1.8781749124173075,0,1,6.7366641264650955,7.6978166781346795,36.889637639016634
30,0.4713014594744891,1,0,23.068845316739864,8.39327481362411,36.4418389173414
31,-1.4474771067034453,0,1,11.795482300072383,8.055686765747428,21.747284663394854
32,1.0512665647547692,1,0,22.613751281671156,9.081355987144166,22.637821256849435
33,0.8791493531316519,1,0,14.597661465332385,8.866083842219522,22.597640179040653
34,2.4645253049675375,1,0,25.2227008587857,10.135832425273712,17.710358126436212
35,0.8143937157001346,1,1,21.45446631933019,9.413751633538954,25.413519219785364
36,-0.30646994593553245,0,1,12.936596640341078,8.213520638004274,30.96141230448601
37,1.0911383223719895,1,0,18.6523521702601,9.805782845953669,24.323797956088608
38,-2.372084555681795,0,1,6.26821150376078,7.602337174714675,34.414398219761445
39,0.8616498182527721,1,1,25.870589152260482,9.45896915346402,32.91924956866435
40,0.20476568141020834,1,0,13.237682627093488,8.544615873842332,30.271539712126067
41,1.6024781146552414,1,1,30.128395642130876,10.034366060419709,24.729840949861718
42,-1.1194055597297847,0,1,10.303091108964075,8.40181015768356,42.84323451952814
43,-0.2131496008951217,0,0,21.46157684926174,8.485490806692992,28.223596640721304
44,1.8237484828568995,1,0,20.54959179552705,9.881951968335429,23.56238070022734
45,1.6925289772916585,1,0,27.704188749557144,9.697177118598423,21.260638080700776
46,-0.7865771523211151,0,1,21.54783104903713,8.182392483455216,30.633393598551095
47,-1.7909680539742112,0,1,6.399635299811948,8.286129018452124,35.42315229689505
48,2.027316747698933,1,0,25.52352328272487,9.575825245659898,27.70997519906832
49,-1.3788953912444413,0,0,7.316720511330242,7.679709470289012,30.11861122214176
50,-1.6164333140477538,0,0,9.349899941171847,7.650279773434116,23.834759664298904
51,0.18921436509117484,1,1,16.633223668836436,9.319632216313892,20.290469041299573
52,-1.09670344972983,0,0,13.686608929446914,7.700003814074475,38.776033684145524
53,-2.4506075168028474,0,1,8.566378941491731,7.56243148003991,30.923062155425363
54,-2.0159613341093063,0,0,10.503686161273512,7.885940753920421,37.97479530085433
55,0.8092473889701068,1,1,18.838566586002713,9.34691223284143,25.16427327551881
56,0.8866767445579171,1,0,23.05017241565406,9.855595959826644,27.6935141967755
57,-1.8435643601696938,0,0,12.63496399819092,7.914362390678691,35.03042787400572
58,-1.1863524338696152,0,1,8.085329994885265,8.165510726113821,32.22623213763388
59,-0.91247069532983,0,0,11.440118924331502,8.25951474485253,31.400313968889932
60,0.8837257814593613,1,0,30.222045669740545,8.854466142096994,17.43773254820345
61,-2.1852131269406527,0,1,9.763177026975995,8.086729238577657,40.704117605832806
62,-2.177762216888368,0,0,11.885995361823841,8.548549261414397,32.34602269096786
63,0.8059532905463129,1,0,19.25562550092589,9.073887019011138,29.947171123967763
64,-1.9763344863895327,0,0,5.27916014105847,8.306412953904683,31.531608134503177
65,1.185120897134766,1,0,17.093914866567808,9.197432900213139,27.370774483089637
66,-2.1239820413757116,0,0,7.18525602960018,7.7443115983624855,28.709326623803946
67,1.9540500896982849,1,0,29.704716172237447,9.654191921779352,18.266005152536337
68,1.9493546534795314,1,0,23.73750658930186,9.515859101431907,26.697215736230504
69,-0.30708668753504753,0,0,13.436651961915532,8.649792265193616,28.87247449085786
70,-2.023765502963215,0,0,11.382409590842814,7.660060948594217,34.351026591957144
71,0.22797457175329328,1,0,22.30016755558963,8.553730950728765,38.285209407547256
72,-0.4954121564514935,0,0,14.239172756898215,8.300379190040719,35.37052999982038
73,-2.435008626198396,0,0,4.715858956909804,7.890782380042149,34.46643749995093
74,2.130277988035232,1,0,28.971149118794663,9.668722933401884,25.80248277720554
75,2.2452913143206388,1,0,23.751461545698316,9.855501902734572,26.40182024416098
76,1.425709530012682,1,1,29.37937014376397,9.853791849493017,20.63624568570726
77,-0.3164595039561391,0,0,12.2973262548986,8.314225463537321,28.898508628782817
78,2.029779137810692,1,1,21.38655917213796,9.801293158332733,22.856158089898614
79,0.05637792753987014,1,0,22.292195380480116,8.374032240309234,25.098260239066718
80,-1.5130038547795266,0,1,6.115559556500935,7.213491103253499,29.338876258450657
81,-2.189054392511025,0,0,4.849135343297174,7.693946262907706,38.85614580347365
82,-1.8358955986332148,0,0,13.018192097872364,7.673029401459235,37.524466269219374
83,0.15574362594634295,1,0,30.334123367958497,8.233304722830617,38.72375165961605
84,2.3927968135103583,1,0,25.158970350681578,9.49670011935252,19.509769900246614
85,0.49429683363996446,1,0,14.757316852950066,8.724665653360645,28.450659465612393
86,-0.9454379696398973,0,0,16.688502259161563,7.701374386860072,32.95406136224659
87,0.4820917558390647,1,0,16.549016874150727,8.570768637034002,32.52016942738902
88,1.4591072942130268,1,0,25.770355303875085,9.28401057501647,25.532475359052004
89,1.4403438032604754,1,1,26.119631440627437,8.94487656682698,28.336539504350256
90,0.758768345694989,1,0,17.420488867310258,9.042867785862981,23.91068719199378
91,0.6680118257645518,1,0,16.140615375783998,8.398382097898303,30.610316825943276
92,-1.6733055131044239,0,0,13.198001889364775,8.472661917925635,32.61332392201437
93,0.5103672726545483,1,0,26.644507380731262,8.758579677938457,29.339975825556355
94,2.2846743767149746,1,0,32.0255693141398,9.728164404868409,29.022518381152153
95,1.6496372828260064,1,0,22.81655803016553,9.536082389630295,26.16101291410039
96,0.13466340256854892,1,1,19.67735834416029,9.573475524231545,29.453962081135856
